datetime,no2_avg,o3_avg,pm10_avg,pm25_avg,hour,dayofweek,month,is_weekend,is_peak,season,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,pm25_lag_168h,pm25_roll_6h,pm25_roll_24h,pm25_roll_72h,pm25_std_24h,aqi,aqi_category,is_hazardous
2016-11-10 20:00:00,270.0,10.576666666666666,199.66666666666666,466.0,20,3,11,0,1,3,368.0,267.0,370.5,211.0,333.6666666666667,392.7291666666667,418.0,104.87746257322034,488.9,Severe,1
2016-11-10 21:00:00,238.0,9.955,215.99999999999997,506.0,21,3,11,0,0,3,466.0,290.0,439.0,254.0,364.6666666666667,395.5208333333333,418.55555555555554,107.03224617382664,258.4,Poor,0
2016-11-10 22:00:00,213.0,10.2,208.33333333333331,510.0,22,3,11,0,0,3,506.0,368.0,444.0,290.0,401.1666666666667,398.2708333333333,417.7986111111111,109.15873754255404,233.7,Poor,0
2016-11-10 23:00:00,381.5,10.15,208.5,527.0,23,3,11,0,0,3,510.0,466.0,478.5,289.5,444.5,400.2916666666667,416.0833333333333,111.13954376551101,384.7,Very Poor,1
2016-11-11 00:00:00,347.0,10.233333333333334,186.66666666666663,511.5,0,4,11,0,0,3,527.0,506.0,526.0,272.5,481.4166666666667,399.6875,412.78472222222223,110.46382572352995,356.3,Very Poor,1
2016-11-11 01:00:00,303.0,10.796666666666667,180.0,517.0,1,4,11,0,0,3,511.5,510.0,554.5,304.0,506.25,398.125,410.875,108.4252146592903,320.0,Very Poor,1
2016-11-11 02:00:00,263.5,11.016666666666666,169.5,582.5,2,4,11,0,0,3,517.0,527.0,542.0,358.0,525.6666666666666,399.8125,409.9236111111111,111.04531120810319,283.7,Poor,0
2016-11-11 03:00:00,214.0,10.96,163.0,510.0,3,4,11,0,0,3,582.5,511.5,554.0,366.0,526.3333333333334,397.9791666666667,407.2916666666667,108.7280691696604,234.7,Poor,0
2016-11-11 04:00:00,198.0,10.45,157.33333333333334,467.0,4,4,11,0,0,3,510.0,517.0,540.0,402.0,519.1666666666666,394.9375,404.3888888888889,105.55714632986476,489.2,Severe,1
2016-11-11 05:00:00,174.0,9.9,158.33333333333334,451.0,5,4,11,0,0,3,467.0,582.5,495.5,426.0,506.5,393.0833333333333,401.4375,104.0946127606863,484.0,Severe,1
2016-11-11 06:00:00,161.5,9.955,169.33333333333334,441.0,6,4,11,0,0,3,451.0,510.0,406.0,411.0,494.75,394.5416666666667,398.80555555555554,104.52770765049237,480.7,Severe,1
2016-11-11 07:00:00,202.0,11.21,180.91666666666666,435.0,7,4,11,0,1,3,441.0,467.0,341.5,435.0,481.0833333333333,398.4375,396.625,104.20676691913664,478.8,Severe,1
2016-11-11 08:00:00,432.5,15.466666666666669,191.25,442.5,8,4,11,0,1,3,435.0,451.0,251.0,435.0,457.75,406.4166666666667,394.6041666666667,99.65894740113201,481.4,Severe,1
2016-11-11 09:00:00,500.0,24.316666666666663,190.91666666666666,513.5,9,4,11,0,1,3,442.5,441.0,262.5,435.0,458.3333333333333,416.875,394.81944444444446,97.03509562322722,161.0,Moderate,0
2016-11-11 10:00:00,500.0,33.745000000000005,180.5,588.0,10,4,11,0,0,3,513.5,435.0,301.0,435.0,478.5,428.8333333333333,397.2638888888889,99.7798300898222,154.1,Moderate,0
2016-11-11 11:00:00,312.0,42.955,165.5,343.5,11,4,11,0,0,3,588.0,442.5,332.0,424.0,460.5833333333333,429.3125,397.3541666666667,99.32115371906994,446.8,Severe,1
2016-11-11 12:00:00,273.0,49.575,155.09166666666667,257.0,12,4,11,0,0,3,343.5,513.5,318.0,424.0,429.9166666666667,426.7708333333333,397.4375,103.00569625096027,404.4,Severe,1
2016-11-11 13:00:00,245.0,52.833333333333336,143.16666666666669,246.0,13,4,11,0,0,3,257.0,588.0,319.0,424.0,398.4166666666667,423.7291666666667,397.94444444444446,107.31414461317823,397.0,Very Poor,1
2016-11-11 14:00:00,235.0,51.516666666666666,132.26666666666668,240.0,14,4,11,0,0,3,246.0,343.5,319.0,428.0,364.6666666666667,420.4375,399.0625,111.78466415973394,392.4,Very Poor,1
2016-11-11 15:00:00,303.0,49.46666666666667,130.26666666666668,216.0,15,4,11,0,0,3,240.0,257.0,320.0,464.5,315.0833333333333,416.1041666666667,399.93055555555554,117.70633863899282,374.1,Very Poor,1
2016-11-11 16:00:00,411.0,39.833333333333336,133.0,212.0,16,4,11,0,0,3,216.0,246.0,291.0,459.5,252.41666666666666,412.8125,400.5833333333333,122.3692569820867,428.2,Severe,1
2016-11-11 17:00:00,500.0,28.899999999999995,139.66666666666666,219.5,17,4,11,0,1,3,212.0,240.0,267.0,439.5,231.75,410.8333333333333,400.5763888888889,125.18192558334358,376.8,Very Poor,1
2016-11-11 18:00:00,500.0,18.674999999999997,152.33333333333334,249.0,18,4,11,0,1,3,219.5,216.0,290.0,493.0,230.41666666666666,409.125,399.97222222222223,127.16663580070723,399.2,Very Poor,1
2016-11-11 19:00:00,500.0,12.666666666666666,183.0,293.5,19,4,11,0,1,3,249.0,212.0,368.0,526.0,238.33333333333334,406.0208333333333,398.875,129.10860604854057,422.3,Severe,1
2016-11-11 20:00:00,454.0,10.576666666666666,199.66666666666666,425.0,20,4,11,0,1,3,293.5,219.5,466.0,526.0,269.1666666666667,404.3125,398.81944444444446,128.55051557402626,475.5,Severe,1
2016-11-11 21:00:00,396.0,9.955,215.99999999999997,485.0,21,4,11,0,0,3,425.0,249.0,506.0,526.0,314.0,403.4375,399.93055555555554,127.89808378922908,495.1,Severe,1
2016-11-11 22:00:00,379.0,10.2,208.33333333333331,526.0,22,4,11,0,0,3,485.0,293.5,510.0,526.0,366.3333333333333,404.1041666666667,400.68055555555554,128.51788736665625,382.7,Very Poor,1
2016-11-11 23:00:00,391.5,10.15,208.5,478.0,23,4,11,0,0,3,526.0,425.0,527.0,526.0,409.4166666666667,402.0625,400.24305555555554,126.85915782438879,492.8,Severe,1
2016-11-12 00:00:00,331.5,10.233333333333334,186.66666666666663,514.5,0,5,11,1,0,3,478.0,485.0,511.5,81.91666666666667,453.6666666666667,402.1875,400.2291666666667,126.97310674688818,343.5,Very Poor,1
2016-11-12 01:00:00,286.0,10.796666666666667,180.0,516.0,1,5,11,1,0,3,514.5,526.0,517.0,81.91666666666667,490.75,402.1458333333333,400.02777777777777,126.93395057261534,305.9,Very Poor,1
2016-11-12 02:00:00,220.0,11.016666666666666,169.5,473.0,2,5,11,1,0,3,516.0,478.0,582.5,81.91666666666667,498.75,397.5833333333333,399.28472222222223,122.04317363902085,491.2,Severe,1
2016-11-12 03:00:00,199.0,10.96,163.0,406.5,3,5,11,1,0,3,473.0,514.5,510.0,81.91666666666667,485.6666666666667,393.2708333333333,397.15277777777777,119.70434403932127,469.5,Severe,1
2016-11-12 04:00:00,185.0,10.45,157.33333333333334,378.0,4,5,11,1,0,3,406.5,516.0,467.0,81.91666666666667,461.0,389.5625,394.40972222222223,118.69529060105837,460.1,Severe,1
2016-11-12 05:00:00,177.0,9.9,158.33333333333334,365.0,5,5,11,1,0,3,378.0,473.0,451.0,81.91666666666667,442.1666666666667,385.9791666666667,391.99305555555554,118.05631294158923,455.9,Severe,1
2016-11-12 06:00:00,154.5,9.955,169.33333333333334,368.0,6,5,11,1,0,3,365.0,406.5,441.0,81.91666666666667,417.75,382.9375,390.22222222222223,117.51626275060694,456.9,Severe,1
2016-11-12 07:00:00,172.0,11.21,180.91666666666666,371.0,7,5,11,1,1,3,368.0,378.0,435.0,81.91666666666667,393.5833333333333,380.2708333333333,388.65972222222223,117.00854476106252,457.9,Severe,1
2016-11-12 08:00:00,288.0,15.466666666666669,191.25,397.0,8,5,11,1,1,3,371.0,365.0,442.5,881.0,380.9166666666667,378.375,387.31944444444446,116.32303689744177,466.4,Severe,1
2016-11-12 09:00:00,500.0,24.316666666666663,190.91666666666666,434.0,9,5,11,1,1,3,397.0,368.0,513.5,881.0,385.5,375.0625,386.625,113.4031201644981,478.4,Severe,1
2016-11-12 10:00:00,338.0,33.745000000000005,180.5,221.0,10,5,11,1,0,3,434.0,371.0,588.0,881.0,359.3333333333333,359.7708333333333,383.31944444444446,108.0593616215554,377.9,Very Poor,1
2016-11-12 11:00:00,282.5,42.955,165.5,216.5,11,5,11,1,0,3,221.0,397.0,343.5,881.0,334.5833333333333,354.4791666666667,380.4513888888889,111.93102293344612,374.5,Very Poor,1
2016-11-12 12:00:00,204.0,49.575,155.09166666666667,209.0,12,5,11,1,0,3,216.5,434.0,257.0,913.0,308.0833333333333,352.4791666666667,379.38194444444446,114.15526032621112,368.8,Very Poor,1
2016-11-12 13:00:00,219.0,52.833333333333336,143.16666666666669,208.0,13,5,11,1,0,3,209.0,221.0,246.0,959.0,280.9166666666667,350.8958333333333,378.5,115.94582497748786,368.0,Very Poor,1
2016-11-12 14:00:00,185.5,51.516666666666666,132.26666666666668,211.0,14,5,11,1,0,3,208.0,216.5,240.0,915.0,249.91666666666666,349.6875,378.6111111111111,117.29503978726362,370.3,Very Poor,1
2016-11-12 15:00:00,279.0,49.46666666666667,130.26666666666668,196.0,15,5,11,1,0,3,211.0,209.0,216.0,997.0,210.25,348.8541666666667,379.0,118.35241030651814,358.9,Very Poor,1
2016-11-12 16:00:00,349.0,39.833333333333336,133.0,222.0,16,5,11,1,0,3,196.0,208.0,212.0,997.0,210.41666666666666,349.2708333333333,379.84722222222223,117.86626348892494,378.7,Very Poor,1
2016-11-12 17:00:00,431.5,28.899999999999995,139.66666666666666,235.5,17,5,11,1,1,3,222.0,211.0,219.5,997.0,213.58333333333334,349.9375,380.74305555555554,117.14338227518304,479.0,Severe,1
2016-11-12 18:00:00,481.0,18.674999999999997,152.33333333333334,249.5,18,5,11,1,1,3,235.5,196.0,249.0,997.0,220.33333333333334,349.9583333333333,381.34722222222223,117.12469355596971,399.6,Very Poor,1
2016-11-12 19:00:00,480.0,12.666666666666666,183.0,255.0,19,5,11,1,1,3,249.5,222.0,293.5,81.91666666666667,228.16666666666666,348.3541666666667,381.0416666666667,118.19038428910322,403.4,Severe,1
2016-11-12 20:00:00,473.0,10.576666666666666,199.66666666666666,340.0,20,5,11,1,1,3,255.0,235.5,425.0,81.91666666666667,249.66666666666666,344.8125,380.61805555555554,117.06193200145442,445.1,Severe,1
2016-11-12 21:00:00,494.0,9.955,215.99999999999997,433.0,21,5,11,1,0,3,340.0,249.5,485.0,81.91666666666667,289.1666666666667,342.6458333333333,380.53472222222223,114.81407268376111,478.1,Severe,1
2016-11-12 22:00:00,479.0,10.2,208.33333333333331,410.0,22,5,11,1,0,3,433.0,255.0,526.0,81.91666666666667,320.5,337.8125,380.0625,109.05710635099514,470.6,Severe,1
2016-11-12 23:00:00,398.5,10.15,208.5,330.5,23,5,11,1,0,3,410.0,340.0,478.0,81.91666666666667,336.3333333333333,331.6666666666667,378.00694444444446,104.88996995471747,440.4,Severe,1
2016-11-13 00:00:00,395.5,10.233333333333334,186.66666666666663,337.5,0,6,11,1,0,3,330.5,433.0,514.5,81.91666666666667,351.0,324.2916666666667,375.3888888888889,97.43324544959314,443.9,Severe,1
2016-11-13 01:00:00,374.0,10.796666666666667,180.0,310.0,1,6,11,1,0,3,337.5,410.0,516.0,81.91666666666667,360.1666666666667,315.7083333333333,371.99305555555554,88.47216667044158,430.4,Severe,1
2016-11-13 02:00:00,321.0,11.016666666666666,169.5,286.5,2,6,11,1,0,3,310.0,330.5,473.0,81.91666666666667,351.25,307.9375,368.44444444444446,82.01051264796898,418.9,Severe,1
2016-11-13 03:00:00,294.0,10.96,163.0,329.0,3,6,11,1,0,3,286.5,337.5,406.5,81.91666666666667,333.9166666666667,304.7083333333333,365.31944444444446,79.44657990103212,439.7,Severe,1
2016-11-13 04:00:00,271.0,10.45,157.33333333333334,335.0,4,6,11,1,0,3,329.0,310.0,378.0,932.0,321.4166666666667,302.9166666666667,362.47222222222223,78.19689011200173,442.6,Severe,1
2016-11-13 05:00:00,231.5,9.9,158.33333333333334,278.0,5,6,11,1,0,3,335.0,286.5,365.0,932.0,312.6666666666667,299.2916666666667,359.4513888888889,77.20398118066834,414.7,Severe,1
2016-11-13 06:00:00,221.5,9.955,169.33333333333334,242.5,6,6,11,1,0,3,278.0,329.0,368.0,932.0,296.8333333333333,294.0625,357.18055555555554,76.59567936787391,394.3,Very Poor,1
2016-11-13 07:00:00,167.5,11.21,180.91666666666666,232.5,7,6,11,1,1,3,242.5,335.0,371.0,932.0,283.9166666666667,288.2916666666667,355.6666666666667,75.75990632120103,386.7,Very Poor,1
2016-11-13 08:00:00,161.0,15.466666666666669,191.25,234.0,8,6,11,1,1,3,232.5,278.0,397.0,914.5,275.1666666666667,281.5,355.43055555555554,72.84080318541044,387.8,Very Poor,1
2016-11-13 09:00:00,298.0,24.316666666666663,190.91666666666666,245.0,9,6,11,1,1,3,234.0,242.5,434.0,830.0,261.1666666666667,273.625,355.1875,65.48170172551725,396.2,Very Poor,1
2016-11-13 10:00:00,291.0,33.745000000000005,180.5,250.0,10,6,11,1,0,3,245.0,232.5,221.0,705.0,247.0,274.8333333333333,354.4791666666667,64.73166463020355,400.0,Very Poor,1
2016-11-13 11:00:00,191.0,42.955,165.5,214.0,11,6,11,1,0,3,250.0,234.0,216.5,814.0,236.33333333333334,274.7291666666667,352.84027777777777,64.83155082121745,372.6,Very Poor,1
2016-11-13 12:00:00,138.0,49.575,155.09166666666667,159.0,12,6,11,1,0,3,214.0,245.0,209.0,938.5,222.41666666666666,272.6458333333333,350.63194444444446,67.77223350353752,330.7,Very Poor,1
2016-11-13 13:00:00,116.0,52.833333333333336,143.16666666666669,135.0,13,6,11,1,0,3,159.0,250.0,208.0,998.0,206.16666666666666,269.6041666666667,348.0763888888889,72.28746646529434,312.4,Very Poor,1
2016-11-13 14:00:00,104.0,51.516666666666666,132.26666666666668,118.0,14,6,11,1,0,3,135.0,214.0,211.0,998.0,186.83333333333334,265.7291666666667,345.28472222222223,77.8446026118519,293.4,Poor,0
2016-11-13 15:00:00,139.0,49.46666666666667,130.26666666666668,96.3,15,6,11,1,0,3,118.0,159.0,196.0,998.0,162.04999999999998,261.575,342.1777777777778,84.13366823356044,221.8,Poor,0
2016-11-13 16:00:00,154.0,39.833333333333336,133.0,84.85,16,6,11,1,0,3,96.3,135.0,222.0,998.0,134.52499999999998,255.86041666666665,339.31458333333336,91.29186232028476,183.0,Moderate,0
2016-11-13 17:00:00,167.0,28.899999999999995,139.66666666666666,90.9,17,6,11,1,1,3,84.85,118.0,235.5,81.91666666666667,114.00833333333331,249.83541666666667,336.86875000000003,97.26987835194137,204.0,Poor,0
2016-11-13 18:00:00,292.0,18.674999999999997,152.33333333333334,110.0,18,6,11,1,1,3,90.9,96.3,249.5,81.91666666666667,105.84166666666664,244.02291666666667,334.36875000000003,101.3722927362377,310.9,Very Poor,1
2016-11-13 19:00:00,350.0,12.666666666666666,183.0,127.0,19,6,11,1,1,3,110.0,84.85,255.0,81.91666666666667,104.50833333333331,238.68958333333333,331.0215277777778,104.10008977480857,358.8,Very Poor,1
2016-11-13 20:00:00,388.0,10.576666666666666,199.66666666666666,201.0,20,6,11,1,1,3,127.0,90.9,340.0,81.91666666666667,118.34166666666665,232.89791666666667,327.34097222222226,102.06535041991768,390.1,Very Poor,1
2016-11-13 21:00:00,348.0,9.955,215.99999999999997,296.0,21,6,11,1,0,3,201.0,110.0,433.0,81.91666666666667,151.625,227.18958333333333,324.4243055555556,93.89117426130463,423.5,Severe,1
2016-11-13 22:00:00,344.0,10.2,208.33333333333331,308.0,22,6,11,1,0,3,296.0,127.0,410.0,81.91666666666667,188.81666666666663,222.93958333333333,321.61875000000003,87.33615340237507,429.4,Severe,1
2016-11-13 23:00:00,305.5,10.15,208.5,308.5,23,6,11,1,0,3,308.0,201.0,330.5,81.91666666666667,225.0833333333333,222.02291666666667,318.5840277777778,86.26704239839609,429.7,Severe,1
2016-11-14 00:00:00,346.0,10.233333333333334,186.66666666666663,352.0,0,0,11,0,0,3,308.5,296.0,337.5,81.91666666666667,265.41666666666663,222.62708333333333,316.36875000000003,87.15712570231081,451.7,Severe,1
2016-11-14 01:00:00,333.5,10.796666666666667,180.0,361.0,1,0,11,0,0,3,352.0,308.0,310.0,81.91666666666667,304.41666666666663,224.75208333333333,314.20208333333335,89.95676434817317,454.6,Severe,1
2016-11-14 02:00:00,290.5,11.016666666666666,169.5,355.0,2,0,11,0,0,3,361.0,308.5,286.5,81.91666666666667,330.0833333333333,227.60625000000002,311.0423611111112,93.0351152878871,452.6,Severe,1
2016-11-14 03:00:00,241.0,10.96,163.0,279.0,3,0,11,0,0,3,355.0,352.0,329.0,81.91666666666667,327.24999999999994,225.52291666666667,307.8340277777778,91.20776804632793,415.2,Severe,1
2016-11-14 04:00:00,222.0,10.45,157.33333333333334,247.0,4,0,11,0,0,3,279.0,361.0,335.0,81.91666666666667,317.0833333333333,221.85625000000002,304.77847222222226,88.33903971348116,397.7,Very Poor,1
2016-11-14 05:00:00,228.5,9.9,158.33333333333334,232.0,5,0,11,0,0,3,247.0,355.0,278.0,81.91666666666667,304.3333333333333,219.93958333333333,301.7368055555556,87.56356322219115,386.3,Very Poor,1
2016-11-14 06:00:00,236.0,9.955,169.33333333333334,223.0,6,0,11,0,0,3,232.0,279.0,242.5,81.91666666666667,282.8333333333333,219.12708333333333,298.7090277777778,87.43550042517884,379.4,Very Poor,1
2016-11-14 07:00:00,315.0,11.21,180.91666666666666,231.0,7,0,11,0,1,3,223.0,247.0,232.5,702.0,261.16666666666663,219.06458333333333,295.8756944444445,87.42606128108018,385.5,Very Poor,1
2016-11-14 08:00:00,429.5,15.466666666666669,191.25,272.5,8,0,11,0,1,3,231.0,232.0,234.0,702.0,247.41666666666663,220.66875000000002,293.51458333333335,88.06291946856003,474.0,Severe,1
2016-11-14 09:00:00,458.5,24.316666666666663,190.91666666666666,379.5,9,0,11,0,1,3,272.5,223.0,245.0,702.0,264.16666666666663,226.27291666666667,291.65347222222226,93.77317334370892,460.6,Severe,1
2016-11-14 10:00:00,418.0,33.745000000000005,180.5,395.0,10,0,11,0,0,3,379.5,231.0,250.0,702.0,288.8333333333333,232.31458333333333,288.9729166666667,99.84296308743907,465.7,Severe,1
2016-11-14 11:00:00,292.5,42.955,165.5,316.0,11,0,11,0,0,3,395.0,272.5,214.0,514.0,302.8333333333333,236.56458333333333,288.59097222222226,101.19127870906354,433.3,Severe,1
2016-11-14 12:00:00,224.5,49.575,155.09166666666667,254.0,12,0,11,0,0,3,316.0,379.5,159.0,317.0,307.99999999999994,240.52291666666667,288.5493055555556,99.87474980016192,403.0,Severe,1
2016-11-14 13:00:00,103.0,52.833333333333336,143.16666666666669,175.0,13,0,11,0,0,3,254.0,395.0,135.0,226.0,298.66666666666663,242.18958333333333,287.5631944444445,98.35952461468871,342.9,Very Poor,1
2016-11-14 14:00:00,78.85,51.516666666666666,132.26666666666668,128.5,14,0,11,0,0,3,175.0,316.0,118.0,164.0,274.66666666666663,242.62708333333333,286.01458333333335,97.80490449510759,307.5,Very Poor,1
2016-11-14 15:00:00,76.2,49.46666666666667,130.26666666666668,107.0,15,0,11,0,0,3,128.5,254.0,96.3,132.0,229.24999999999997,243.07291666666666,284.5006944444445,97.13095259490031,257.1,Poor,0
2016-11-14 16:00:00,116.85,39.833333333333336,133.0,97.6,16,0,11,0,0,3,107.0,175.0,84.85,116.0,179.6833333333333,243.60416666666666,282.9118055555556,96.25889221111036,226.1,Poor,0
2016-11-14 17:00:00,158.5,28.899999999999995,139.66666666666666,90.25,17,0,11,0,1,3,97.6,128.5,90.9,127.0,142.0583333333333,243.57708333333332,281.1166666666667,96.30380594218119,201.8,Poor,0
2016-11-14 18:00:00,187.0,18.674999999999997,152.33333333333334,96.1,18,0,11,0,1,3,90.25,107.0,110.0,175.5,115.74166666666666,242.99791666666667,278.99305555555554,97.17987186383317,221.1,Poor,0
2016-11-14 19:00:00,237.0,12.666666666666666,183.0,119.0,19,0,11,0,1,3,96.1,97.6,127.0,241.5,106.4083333333333,242.66458333333333,276.56944444444446,97.60782942487887,296.7,Poor,0
2016-11-14 20:00:00,257.0,10.576666666666666,199.66666666666666,147.0,20,0,11,0,1,3,119.0,90.25,201.0,305.5,109.49166666666663,240.41458333333333,272.7083333333333,99.21910479509778,321.6,Very Poor,1
2016-11-14 21:00:00,280.5,9.955,215.99999999999997,185.5,21,0,11,0,0,3,147.0,96.1,296.0,466.0,122.57499999999997,235.81041666666667,268.5486111111111,99.09131052497986,350.9,Very Poor,1
2016-11-14 22:00:00,252.0,10.2,208.33333333333331,259.5,22,0,11,0,0,3,185.5,119.0,308.0,564.5,149.5583333333333,233.78958333333333,264.84722222222223,98.0441049589936,405.7,Severe,1
2016-11-14 23:00:00,231.5,10.15,208.5,323.5,23,0,11,0,0,3,259.5,147.0,308.5,650.5,188.4333333333333,234.41458333333333,262.7013888888889,98.58737184231748,437.0,Severe,1
2016-11-15 00:00:00,224.0,10.233333333333334,186.66666666666663,246.0,0,1,11,0,0,3,323.5,185.5,352.0,749.0,213.41666666666666,229.99791666666667,258.97222222222223,95.41386563985648,397.0,Very Poor,1
2016-11-15 01:00:00,223.0,10.796666666666667,180.0,245.0,1,1,11,0,0,3,246.0,259.5,361.0,654.5,234.41666666666666,225.16458333333333,255.20833333333334,91.34035309854384,396.2,Very Poor,1
2016-11-15 02:00:00,199.0,11.016666666666666,169.5,278.0,2,1,11,0,0,3,245.0,323.5,355.0,651.0,256.25,221.95624999999998,252.5,87.86790643334038,414.7,Severe,1
2016-11-15 03:00:00,185.0,10.96,163.0,314.0,3,1,11,0,0,3,278.0,246.0,279.0,699.5,277.6666666666667,223.41458333333333,251.21527777777777,89.13709699495719,432.4,Severe,1
2016-11-15 04:00:00,189.5,10.45,157.33333333333334,335.0,4,1,11,0,0,3,314.0,245.0,247.0,676.0,290.25,227.08124999999998,250.61805555555554,91.91609455095447,442.6,Severe,1
2016-11-15 05:00:00,188.0,9.9,158.33333333333334,363.0,5,1,11,0,0,3,335.0,278.0,232.0,663.5,296.8333333333333,232.53958333333333,250.59027777777777,96.01896209826235,455.2,Severe,1
2016-11-15 06:00:00,191.0,9.955,169.33333333333334,375.0,6,1,11,0,0,3,363.0,314.0,223.0,630.5,318.3333333333333,238.87291666666667,250.6875,100.28070274632658,459.2,Severe,1
2016-11-15 07:00:00,240.5,11.21,180.91666666666666,426.5,7,1,11,0,1,3,375.0,335.0,231.0,592.0,348.5833333333333,247.01874999999998,251.45833333333334,107.3074562955923,476.0,Severe,1
2016-11-15 08:00:00,301.0,15.466666666666669,191.25,543.0,8,1,11,0,1,3,426.5,363.0,272.5,588.0,392.75,258.2895833333333,253.48611111111111,123.13819029251047,318.3,Very Poor,1
2016-11-15 09:00:00,229.0,24.316666666666663,190.91666666666666,487.0,9,1,11,0,1,3,543.0,375.0,379.5,498.0,421.5833333333333,262.76875,254.22222222222223,129.5282911958184,495.8,Severe,1
2016-11-15 10:00:00,150.0,33.745000000000005,180.5,438.0,10,1,11,0,0,3,487.0,426.5,395.0,412.0,438.75,264.56041666666664,257.2361111111111,131.71579168072347,479.7,Severe,1
